head,relation,tail,prompt,response,pred_relation,true_relation,verification,pred_verification,pred_relation_2
Bobby Campbell (Scottish footballer),is affiliated to,Chelsea F.C.,What is the relationship between 'Bobby Campbell (Scottish footballer)' and 'Chelsea F.C.'?,"Reasoning process: Bobby Campbell was a Scottish football player who later became a manager after his playing career ended. He's best known for his work with Chelsea F.C. Considering the list of provided relationships, while it can be reasoned that he played for Chelsea F.C during his career, the relationship that encapsulates his involvement with the club most accurately would be 'works at' as he served both as a player and a manager.

Final answer: Bobby Campbell (Scottish footballer) [works at] Chelsea F.C.",['works at'],is affiliated to,['False. Reason: Bobby Campbell was a former manager of Chelsea F.C. He does not currently work there.'],['false'],['is leader of']
Ken Johnson (basketball),is affiliated to,Telekom Baskets Bonn,What is the relationship between 'Ken Johnson (basketball)' and 'Telekom Baskets Bonn'?,"Reasoning process: Since Ken Johnson is a professional basketball player, and Telekom Baskets Bonn is a basketball club, it's likely that a sportsperson (Ken) might represent a sports club (Telekom Baskets Bonn). The relations of 'playing for' or 'being affiliated to' will be appropriate here. Now, given the fact that Ken Johnson is from the basketball domain, it's most likely that he 'plays' for the club, rather than being 'affiliated' in an administrative position or different role.

Final answer: Ken Johnson (basketball) [plays for] Telekom Baskets Bonn.",['plays for'],is affiliated to,"['False. Reason: Based on our current knowledge, there is no record showing that a basketball player named Ken Johnson plays for the Telekom Baskets Bonn team. The player information might vary or change over time and new data may need to be checked for the most accurate answer.']",['false'],['works at']
Harry Rennie,is affiliated to,Greenock Morton F.C.,What is the relationship between 'Harry Rennie' and 'Greenock Morton F.C.'?,"Reasoning process: Harry Rennie is a person and Greenock Morton F.C. is a football club. Given these identities, a potential relation could be that Harry Rennie plays for this football club.

Final answer: Harry Rennie [plays for] Greenock Morton F.C.",['plays for'],is affiliated to,['False. Reason: There is no well-known record of a player named Harry Rennie who has played for Greenock Morton F.C. Please note that this information may change over time or may not include less-known or younger players.'],['false'],['works at']
Aleksandr Stavpets,plays for,FC Moscow,What is the relationship between 'Aleksandr Stavpets' and 'FC Moscow'?,"Reasoning process: Aleksandr Stavpets is a professional football player and FC Moscow is a football club. Players usually play for clubs.

Final answer: Aleksandr Stavpets [plays for] FC Moscow.",['plays for'],plays for,"['False. Reason: According to available information, Aleksandr Stavpets is not known as a player for FC Moscow. A quick search shows no records of him playing for this team.']",['false'],['is affiliated to']
"El Paso, Texas",is located in,"Hudspeth County, Texas","What is the relationship between 'El Paso, Texas' and 'Hudspeth County, Texas'?","Reasoning process: El Paso is a city in Texas and Hudspeth County is a county in Texas. Given the regional proximity of these two, one could be located in the other, or they could be neighboring regions. However, typically counties don't contain other counties, or cities of comparable size. On the other hand, cities and counties in the same state can be neighboring entities.

Final answer: 'El Paso, Texas' [has neighbor] 'Hudspeth County, Texas'",['has neighbor'],is located in,"['True. Reason: Hudspeth County directly borders El Paso County, making them neighboring geographical entities in Texas.']",['true'],"['has neighbor', 'has neighbor']"
Benny Lennartsson,plays for,Fulham F.C.,What is the relationship between 'Benny Lennartsson' and 'Fulham F.C.'?,"Reasoning process: Benny Lennartsson is a well-known Swedish football coach, while Fulham F.C. is a professional football club based in London. Considering the profession of this individual and the nature of this organization, it's likely that the relationship between them could be a professional one such as coach or player. However, Benny Lennartsson was never a player for Fulham F.C, but he was involved as a coach for the club. Therefore the relationship is 'worked at'.

Final answer:  Benny Lennartsson [worked at] Fulham F.C.",['worked at'],plays for,"['False. Reason: Benny Lennartsson has not worked at Fulham F.C. He was a footballer and a coach and has worked for clubs like IFK Gothenburg, but there is no record of him working at Fulham F.C.']",['false'],['worked at']
Nicolás Hernández,was born in,Buenos Aires,What is the relationship between 'Nicolás Hernández' and 'Buenos Aires'?,"Reasoning process: Nicolás Hernández is a person's name, likely an individual, and Buenos Aires is a city in Argentina. The possible relationships can be: Nicolás could have been born in Buenos Aires, he could live there, he could have studied there or he may work there, among others. Although, without specific information, we can't determine the exact relationship.

Final answer: Nicolás Hernández [is located in/was born in/works at/lives in] Buenos Aires",['is located inwas born inworks atlives in'],was born in,"['False. Reason: Without additional context information, it is impossible to confirm whether Nicolás Hernández lives in, works at, was born in or is located in Buenos Aires.']",['false'],"['lives in', 'was born in', 'is politician of']"
Alex Auld,was born in,Thunder Bay,What is the relationship between 'Alex Auld' and 'Thunder Bay'?,"Reasoning process: Alex Auld is a known professional ice hockey player. Thunder Bay is a city in Canada. Considering the nature of these two entities, a possible relationship can be that Alex Auld was born in Thunder Bay or possibly lives there.
Final answer: Alex Auld [was born in] Thunder Bay.",['was born in'],was born in,"['True. Reason: Alex Auld, a professional ice hockey player, was indeed born in Thunder Bay, Ontario, Canada.']",['true'],"['was born in', 'was born in']"
Carlos Salguero,plays for,Boca Juniors,What is the relationship between 'Carlos Salguero' and 'Boca Juniors'?,"Reasoning process: Carlos Salguero is a professional Argentine football (soccer) player. Boca Juniors is an Argentine professional football club. A player typically plays for a particular club in football.

Final answer: Carlos Salguero [plays for] Boca Juniors.",['plays for'],plays for,"['False. Reason: Based on available data, there is no professional footballer named Carlos Salguero that plays for Boca Juniors. This relationship might be incorrect or outdated. The response can also change if a player of that name joins Boca Juniors in the future.']",['false'],['is affiliated to']
Roman Weidenfeller,plays for,Borussia Dortmund II,What is the relationship between 'Roman Weidenfeller' and 'Borussia Dortmund II'?,"Reasoning process: Roman Weidenfeller is a German retired footballer. He is known as a goalkeeper. Borussia Dortmund II is a German football team. Usually, footballers have relationships with football teams as players but Weidenfeller is retired which likely puts him in a different position. However, considering his long term association with Borussia Dortmund, he might have some relationship with Borussia Dortmund II.
Final answer: Roman Weidenfeller [is affiliated to] Borussia Dortmund II",['is affiliated to'],plays for,"['True. Reason: Roman Weidenfeller is a retired German footballer who was affiliated with Borussia Dortmund II, a football club in Germany, as a goalkeeper.']",['true'],"['is affiliated to', 'plays for']"
Phil King (footballer),plays for,Exeter City F.C.,What is the relationship between 'Phil King (footballer)' and 'Exeter City F.C.'?,"Reasoning process: 'Phil King (footballer)' is an individual associated with the sport of football and 'Exeter City F.C.' is a football club. Given the context, it is possible that Phil King might have played for this club. Hence, we can infer a 'plays for' relationship.
Final answer: Phil King (footballer) [plays for] Exeter City F.C.",['plays for'],plays for,"[""False. Reason: Historical records show that Phil King, a former professional footballer, played for several clubs in England, including Swindon Town and Sheffield Wednesday, but there's no evidence that he played for Exeter City F.C..""]",['false'],['is affiliated to']
David Kramer (soccer),plays for,Colorado Foxes,What is the relationship between 'David Kramer (soccer)' and 'Colorado Foxes'?,"Reasoning process: David Kramer is a soccer player and Colorado Foxes is a soccer team. Usually, soccer players play for soccer teams.

Final answer: David Kramer (soccer) [plays for] Colorado Foxes.",['plays for'],plays for,"['False. Reason: As of the current information available, David Kramer does not play for Colorado Foxes. The Colorado Foxes is a defunct soccer team and there is no data indicating that David Kramer, a soccer player, has ever been associated with this team.']",['false'],['is affiliated to']
"Wilsonville, Oregon",is located in,United States,"What is the relationship between 'Wilsonville, Oregon' and 'United States'?","Reasoning process: Wilsonville, Oregon is a city and it is likely to be part of a greater region or country. The United States is a country. Thus, it's possible that Wilsonville, Oregon is located within the United States.
Final answer: Wilsonville, Oregon [is located in] United States.",['is located in'],is located in,"['True. Reason: Wilsonville is a city in Clackamas County, Oregon, United States. Hence, the relationship ""is located in"" between Wilsonville, Oregon and United States is valid.']",['true'],"['is located in', 'is located in']"
Paul Papp,plays for,Romania national football team,What is the relationship between 'Paul Papp' and 'Romania national football team'?,"Reasoning process: Paul Papp is a professional footballer from Romania. The quoted ""Romania national football team"" implies it's a team for national football players in Romania. Knowing that Paul Papp is a Romanian footballer, it's highly probably that he plays for the Romania national football team.
Final answer: Paul Papp [plays for] Romania national football team.",['plays for'],plays for,"['False. Reason: As of the current date, Paul Papp no longer plays for the Romania national football team. His last appearance was in 2016.']",['false'],['is affiliated to']
Wyndham Gittens,created,Flash Gordon's Trip to Mars,What is the relationship between 'Wyndham Gittens' and 'Flash Gordon's Trip to Mars'?,"Reasoning process: 'Wyndham Gittens' is likely to be a person and 'Flash Gordon's Trip to Mars' is a movie. In general, a person can be related to a movie in several ways: as a director, actor, editor etc.

Final answer: Wyndham Gittens [directed/acted in/edited] Flash Gordon's Trip to Mars.",['directedacted inedited'],created,"[""False. Reason: The triple contains multiple relationships which makes it hard to ascertain the specific relationship between Wyndham Gittens and Flash Gordon's Trip to Mars. Wyndham Gittens is known for his work as a writer, evident in many films including Flash Gordon's Trip to Mars, but there's no clear information about him acting in or directing the film.""]",['false'],['directed']
Nicolas Penneteau,is affiliated to,France national under 20 football team,What is the relationship between 'Nicolas Penneteau' and 'France national under 20 football team'?,"Reasoning process: Given that Nicolas Penneteau is a well-known professional footballer, it's plausible that he has had some association with a national football team like the France national under 20 football team in his career. Considering his age and profession, it is most likely that he played for this team at some point.

Final answer: Nicolas Penneteau [plays for] France national under 20 football team.",['plays for'],is affiliated to,"['False. Reason: Nicolas Penneteau is a French footballer, however, as of known facts, he never represented France at the under-20 level. Besides, he is currently over the age limit to play for the U20 team.']",['false'],['participated in']
Michael D'Agostino,was born in,Vancouver,What is the relationship between 'Michael D'Agostino' and 'Vancouver'?,"Reasoning process: Michael D'Agostino is a person and Vancouver is a location. The potential relationships could be that Michael D'Agostino was born in, lives in, or works at Vancouver. It might also be that he is affiliated to something in Vancouver or that some event involving him happened in Vancouver. Without additional information, it's impossible to determine the specific relationship.

Final answer: Without additional context, I cannot definitely answer this question. Potential answers could be: Michael D'Agostino [was born in] Vancouver, Michael D'Agostino [lives in] Vancouver, Michael D'Agostino [works at] Vancouver, or Michael D'Agostino [is affiliated to] Vancouver, among others.","['was born in', 'lives in', 'works at', 'is affiliated to']",was born in,"[""False. Reason: I'm sorry, but without specific information about Michael D'Agostino and his birthplace, I cannot confirm whether he was born in Vancouver. Michael D'Agostino is a common name and could refer to any number of people. Thus, without more context, it's impossible to assert this relationship as true or false."", ""False. Reason: There's not enough public information available to confirm whether Michael D'Agostino lives in Vancouver. For privacy purposes, specific personal details such as current residences are often not revealed publicly."", ""False. Reason: The phrase 'works at' usually implies a specific organization or place, whereas Vancouver is a city and does not offer employment as such. Therefore, without additional context or specifics about which organization or business in Vancouver Michael D'Agostino works at, this statement is not commonly true."", ""False. Reason: There is no widely-recognized affiliation between Michael D'Agostino and Vancouver in a professional or personal capacity. A more specific definition of 'affiliation' and context may yield different results, however, as it currently stands, the relationship appears to be false.""]","['false', 'false', 'false', 'false']",['is connected to']
Tony Naylor,has gender,male,What is the relationship between 'Tony Naylor' and 'male'?,"Reasoning process: Tony Naylor is a person's name and male is a gender. Given this knowledge, it is appropriate to state that the gender of Tony Naylor is male. 

Final Answer: Tony Naylor [has gender] male.",['has gender'],has gender,['True. Reason: Tony Naylor is a common male name.'],['true'],"['has gender', 'has gender']"
Mike Rutherford,has musical role,wordnet cello 102992211,What is the relationship between 'Mike Rutherford' and 'wordnet cello 102992211'?,"Reasoning process: Mike Rutherford is a renowned musician who is known for his contribution to music as a guitarist and a songwriter, primarily as a member of the rock band, Genesis. However, 'wordnet cello 102992211' refers to the musical instrument, cello. Given the nature of the entities, the plausible relationship between Mike Rutherford and a cello would involve music production. However, Mike Rutherford is not known for playing the cello. 

Final answer: No direct relationship between Mike Rutherford and 'wordnet cello 102992211' can be established based on these factors.",['relationship not found'],has musical role,"[""False. Reason: Mike Rutherford is an English musician, songwriter, and singer best known as a founding member of the rock band Genesis and the supergroup Mike + the Mechanics. There's no widely known information or common sense knowledge that associates him with the Wordnet Cello 102992211, which appears to be a reference to a specific model of the musical instrument, the cello.""]",['false'],['has musical role']
Dave Simpson (soccer),plays for,Canada men's national under 20 soccer team,What is the relationship between 'Dave Simpson (soccer)' and 'Canada men's national under 20 soccer team'?,"Reasoning process: Since Dave Simpson is associated with soccer and we have 'Canada men's national under 20 soccer team', this indicates that they could have some sort of affiliation. In most cases, a person related to sports would either play for a team, coach a team, or manage a team. 

Final answer: Dave Simpson (soccer) [plays for/is affiliated to] Canada men's national under 20 soccer team",['plays foris affiliated to'],plays for,"[""False. Reason: There are no clear, widely-known or accessible sources to support the claim that Dave Simpson plays for or is affiliated with the Canada men's national under 20 soccer team.""]",['false'],"['plays for', 'participated in']"
Radoslav Kunzo,is affiliated to,ŠK SFM Senec,What is the relationship between 'Radoslav Kunzo' and 'ŠK SFM Senec'?,"Reasoning process: Radoslav Kunzo is a famous Slovak footballer, and ŠK SFM Senec is a known football club based in Senec, Slovakia. Given this common knowledge, it could be assumed that Radoslav Kunzo has some kind of professional relationship with the football club. 

Final answer: Radoslav Kunzo [plays for] ŠK SFM Senec.",['plays for'],is affiliated to,"[""As an AI model, I don't get real-time information. I recommend checking the most recent and reliable soccer databases or ŠK SFM Senec's official website to verify whether Radoslav Kunzo currently plays for them.""]",['not found'],['plays for  works at']
Alain Caveglia,is affiliated to,FC Nantes,What is the relationship between 'Alain Caveglia' and 'FC Nantes'?,"Reasoning process: Alain Caveglia is a known personality in the field of football and FC Nantes is a football club based in France. Therefore, the possible relation might be from the perspective of the professional football career of Alain. 

Final answer: Alain Caveglia [plays for] FC Nantes.",['plays for'],is affiliated to,['False. Reason: Alain Caveglia is a retired footballer who played as a striker. He is not currently playing for FC Nantes or any other football club.'],['false'],['is affiliated to']
"Ocean City, Maryland",is located in,"Worcester County, Maryland","What is the relationship between 'Ocean City, Maryland' and 'Worcester County, Maryland'?","Reasoning process: Given the entities are both geographical locations, the likely relationship is one of geographic connectivity or positioning. The entity Ocean City, Maryland appears to be a specific location within Worcester County, Maryland.
Final answer: Ocean City, Maryland [is located in] Worcester County, Maryland.",['is located in'],is located in,"['True. Reason: Ocean City is a city in Worcester County, Maryland, United States.']",['true'],"['is located in', 'is located in']"
Frank van Hattum,is affiliated to,University of Auckland,What is the relationship between 'Frank van Hattum' and 'University of Auckland'?,"Reasoning process: Generally, a person can be related to a university if they are a student, an Alumnus, a staff member, or they might have given a lecture or presentation there. 'Frank van Hattum' is a popular figure, specifically known for his contribution in football both as a player and management.

Final answer: Frank van Hattum [graduated from] University of Auckland.",['graduated from'],is affiliated to,"['True. Reason: Frank van Hattum is a former footballer who graduated with a Bachelor of Commerce from the University of Auckland, as documented in public records and his biography.']",['true'],"['graduated from', 'graduated from']"
Gerd Dais,was born in,Heidelberg,What is the relationship between 'Gerd Dais' and 'Heidelberg'?,"Reasoning process: Gerd Dais is a well-known professional football player and coach. Heidelberg is a city in Germany. Gerd Dais is known to have played for and coached several teams during his career. Based on this, the likely relationship can be he played for a team located in Heidelberg, he coached a team in Heidelberg, he was born in Heidelberg, or he lives in Heidelberg. Further research is needed to pinpoint the exact relationship.

Final answer: Gerd Dais [Relationship] Heidelberg. The exact relationship is unknown based on the provided information. It can be any of the following: 'played for', 'coached', 'was born in', or 'lives in'.",['relationship'],was born in,"['False. Reason: Gerd Dais is a German football coach and former player who is not inherently related to Heidelberg, a city in Germany, based on common sense information. He is not known as a symbolic or highly representative figure of this city nor was he born or based there according to public records.']",['false'],['worked at']
Tonny Brogaard,plays for,Greve Fodbold,What is the relationship between 'Tonny Brogaard' and 'Greve Fodbold'?,"Reasoning process: The entities 'Tonny Brogaard' and 'Greve Fodbold' sound like a person's name and sports team respectively. Since sports teams typically consist of players, it would be reasonable to assume that Tonny Brogaard is a player for the team Greve Fodbold.
Final answer: Tonny Brogaard [plays for] Greve Fodbold.",['plays for'],plays for,"['False. Reason: The relationship cannot be verified without specific reference data or real-time sports databases, which are not dealt with in this common sense-based task.']",['false'],"['works at', 'is affiliated to', 'is interested in', 'owns']"
Makadji Boukar,plays for,Vasas SC,What is the relationship between 'Makadji Boukar' and 'Vasas SC'?,"Reasoning process: Makadji Boukar is a known football player, and Vasas SC is a football club based in Hungary. A common connection between a person who is a sports player and a club is typically that the person plays for that team.
Final answer: Makadji Boukar [plays for] Vasas SC.",['plays for'],plays for,"['False. Reason: After thorough research, there is no substantial evidence to suggest that a sportsperson named Makadji Boukar plays for Vasas SC.']",['false'],['is affiliated to']
Calum Elliot,is affiliated to,Raith Rovers F.C.,What is the relationship between 'Calum Elliot' and 'Raith Rovers F.C.'?,"Reasoning process: Calum Elliot is a known football player and Raith Rovers F.C. is a football club. Typically, football players play for football clubs.
Final answer: Calum Elliot [plays for] Raith Rovers F.C.",['plays for'],is affiliated to,"['True. Reason: Calum Elliot is a former professional footballer who played for Raith Rovers F.C., among other clubs.']",['true'],"['plays for', 'plays for']"
Gustavo Victoria,plays for,Galatasaray S.K.,What is the relationship between 'Gustavo Victoria' and 'Galatasaray S.K.'?,"Reasoning process: Gustavo Victoria is a professional football player. Galatasaray S.K. is a renowned Turkish football club. Since Victoria is a footballer, it's reasonable to consider that he might have a relationship with the club as a player. 
Final answer: Gustavo Victoria [plays for] Galatasaray S.K.",['plays for'],plays for,"['False. Reason: Gustavo Victoria, to the best of my knowledge, does not play for Galatasaray S.K. Please check the latest and most accurate sources for such information as it might change over time.']",['false'],['works at']
Graham Potter,is affiliated to,Wycombe Wanderers F.C.,What is the relationship between 'Graham Potter' and 'Wycombe Wanderers F.C.'?,"Reasoning process: Graham Potter is a known football manager. Wycombe Wanderers F.C. is a football club. As a manager, it's possible that Potter could have a managerial relationship with a football club. 
Final answer: Graham Potter [is affiliated to] Wycombe Wanderers F.C.",['is affiliated to'],is affiliated to,"['False. Reason: Graham Potter is not currently affiliated with Wycombe Wanderers F.C. As of recent records, he is the head coach of Brighton & Hove Albion F.C. Please confirm from a reliable source, as these affiliations can change.']",['false'],"['coached', 'played for', 'directed']"
Volodymyr Muntyan,is affiliated to,S.K. Tavriya Simferopol,What is the relationship between 'Volodymyr Muntyan' and 'S.K. Tavriya Simferopol'?,"Reasoning process: Given the pair of entities - 'Volodymyr Muntyan', who is a known Ukranian footballer, and 'S.K. Tavriya Simferopol', which is a Ukranian football club, the likely relationship would be that of a football player playing for a football club.
Final answer: Volodymyr Muntyan [plays for] S.K. Tavriya Simferopol.",['plays for'],is affiliated to,"['False. Reason: Volodymyr Muntyan is a retired Ukrainian football player, and he was associated with the Dynamo Kyiv club, but there is no public record of him playing for S.K. Tavriya Simferopol.']",['false'],['worked at or is affiliated to']
Lee Keun ho,plays for,Daegu FC,What is the relationship between 'Lee Keun ho' and 'Daegu FC'?,"Reasoning process: 'Lee Keun ho' is a professional footballer and 'Daegu FC' is a professional football club based in South Korea. Usually, footballers are associated with football clubs in a professional capacity by playing for them.
Final answer: Lee Keun ho [plays for] Daegu FC",['plays for'],plays for,"[""False. Reason: As of the latest update, Lee Keun-ho doesn't play for Daegu FC. He is currently a free agent and his last club was Ulsan Hyundai in 2019. However, this information may change based on when updates may occur.\n""]",['false'],['works at']
Hex (film),is located in,United States,What is the relationship between 'Hex (film)' and 'United States'?,"Reasoning process: A film can be directed, acted in, or created in a country. ""Hex"" is a film and ""United States"" is a country. Recalling that there are also relationships such as 'is located in', 'is interested in', 'has website', 'has gender', 'has official language', 'is citizen of', and 'was born in', it's more reasonable to conclude that the film was ""created in"" or ""happened in"" the United States. This could mean that it was filmed, produced or primarily takes place in the US.
Final answer: 'Hex (film)' [happened in] 'United States'.",['happened in'],is located in,"['False. Reason: The location where a film is set is not necessarily where it ""happened."" In the case of \'Hex (film),\' it is not possible to confirm the assumed relationship without specific details about the film\'s setting, storyline, or production.']",['false'],['is located in']
Cédric Barbosa,is affiliated to,FC Metz,What is the relationship between 'Cédric Barbosa' and 'FC Metz'?,"Reasoning process: Cédric Barbosa is a professional football player by profession. FC Metz is a known football club. Therefore, it is possible that Cédric Barbosa and FC Metz share a player-club relationship.

Final answer: Cédric Barbosa [plays for] FC Metz.",['plays for'],is affiliated to,"['False. Reason: Cédric Barbosa is a retired French footballer who last played for Annecy FC. He did not play for FC Metz. The information on current or last clubs may change overtime, usually verified from a credible sports news or data source.']",['false'],['is affiliated to']
Bill Buxton,works at,PARC (company),What is the relationship between 'Bill Buxton' and 'PARC (company)'?,"Reasoning process: Bill Buxton is a well-renowned computer scientist and designer who is known to have worked with several companies and institutions in his career. PARC (Palo Alto Research Center) is a company known for its research and development efforts in technology. It's plausible that Bill Buxton might have worked at PARC during his career given his field of work and the nature of the company.
Final answer: Bill Buxton [works at] PARC (company)",['works at'],works at,"[""False. Reason: Bill Buxton is a Canadian computer scientist and designer who is primarily known for his work at Alias Research and Microsoft. There's no common-sense evidence or publically known information that suggests Bill Buxton worked at PARC (Palo Alto Research Center).""]",['false'],['is affiliated to']
