head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
Buckminster Fuller,place of death,Rome,0,Q102289,P20,Q220,What is the relationship between 'Buckminster Fuller' and 'Rome'?,"1. Buckminster Fuller [place of death] Rome; 
2. Buckminster Fuller [visited] Rome; 
3. Buckminster Fuller [inspired by] Rome; 
4. Buckminster Fuller [narrative location] Rome; 
5. Buckminster Fuller [influenced by] Rome;","['place of death', 'visited', 'inspired by', 'narrative location', 'influenced by']",relationship is ambiguous,"['False. Reason: Buckminster Fuller passed away in Los Angeles, not Rome.', 'False. Reason: Buckminster Fuller was an American architect, systems theorist, author, designer, inventor, and futurist who is not known to have visited Rome.', 'False. Reason: Buckminster Fuller was not directly inspired by Rome as a city or entity, but rather drew inspiration from various sources such as nature, geometry, and technology.', 'False. Reason: Buckminster Fuller is an American architect, systems theorist, author, designer, and inventor, primarily known for popularizing the geodesic dome. There is no known direct relationship between Buckminster Fuller and the city of Rome in terms of a narrative location.', 'False. Reason: Buckminster Fuller is a human being, while Rome is a city. It does not make sense for a person to be ""influenced by"" a city.']"
Jada Pinkett Smith,field of work,astronomy,0,Q228787,P101,Q333,What is the relationship between 'Jada Pinkett Smith' and 'astronomy'?,"1. Jada Pinkett Smith [occupation] astronomy; 
2. Jada Pinkett Smith [field of work] astronomy;","['occupation', 'field of work']",relationship is ambiguous,"['False. Reason: Jada Pinkett Smith is known for her career as an actress, singer, and businesswoman, not as an astronomer.', 'False. Reason: Jada Pinkett Smith is known for her work as an actress, singer, and businesswoman, but not as an astronomer.']"
Joe Satriani,instrument,harmonica,1,Q194287,P1303,Q51290,What is the relationship between 'Joe Satriani' and 'harmonica'?,"1. Joe Satriani [instrument] harmonica; 
2. Joe Satriani [genre] harmonica; 
3. Joe Satriani [practiced by] harmonica;","['instrument', 'genre', 'practiced by']",instrument,"['False. Reason: Joe Satriani is primarily known as a guitarist and not as a harmonica player.', 'False. Reason: Joe Satriani is a renowned guitarist known for his expertise in playing the guitar, not harmonica. Therefore, it is unlikely for him to be associated with the genre of harmonica.', 'False. Reason: Joe Satriani is a renowned guitarist known for his skills on the electric guitar, not harmonica.']"
Donny Hathaway,place of death,Rome,0,Q507864,P20,Q220,What is the relationship between 'Donny Hathaway' and 'Rome'?,1. Donny Hathaway [place of birth] Rome; 2. Donny Hathaway [residence] Rome; 3. Donny Hathaway [influenced by] Rome; 4. Donny Hathaway [genre] Rome; 5. Donny Hathaway [movement] Rome; 6. Donny Hathaway [field of work] Rome; 7. Donny Hathaway [location of formation] Rome.,"['place of birth', 'residence', 'influenced by', 'genre', 'movement', 'field of work', 'location of formation']",relationship is ambiguous,"['False. Reason: Donny Hathaway, the American singer, was born in Chicago, Illinois, not Rome.', 'False. Reason: Donny Hathaway, an American musician, is not known to have resided in Rome, Italy.', 'False. Reason: Donny Hathaway, the American singer, is not known to have been influenced by Rome, the capital city of Italy. The relationship between these two entities does not make sense based on common knowledge.', 'False. Reason: Donny Hathaway is a musician known for his work in the R&B and soul music genres, while Rome is a city in Italy. There is no known direct relationship between Donny Hathaway and Rome based on common sense.', 'False. Reason: Donny Hathaway, an American singer, is not commonly associated with any movement related to Rome.', 'False. Reason: Donny Hathaway was a musician in the field of music, not Rome.', 'False. Reason: Donny Hathaway, the famous American singer, songwriter, and musician, was born in Chicago, Illinois, and was primarily active in the United States music scene. There is no known connection between Donny Hathaway and Rome that would indicate that the city was the location of his formation.']"
Carl Djerassi,country of citizenship,Ukraine,0,Q78608,P27,Q212,What is the relationship between 'Carl Djerassi' and 'Ukraine'?,"1. Carl Djerassi [ethnic group] Ukraine;
2. Carl Djerassi [place of birth] Ukraine; 
3. Carl Djerassi [educated at] Ukraine;
4. Carl Djerassi [residence] Ukraine.","['ethnic group', 'place of birth', 'educated at', 'residence']",relationship is ambiguous,"['False. Reason: Carl Djerassi was an Austrian-American chemist and novelist, known as one of the fathers of the birth control pill. He was not part of the ethnic group of Ukraine.', 'False. Reason: Carl Djerassi, an Austrian-American chemist, was born in Vienna, Austria, not Ukraine.', 'False. Reason: Carl Djerassi was not educated in Ukraine. He was actually educated in the United States and Austria.', 'False. Reason: Carl Djerassi was an Austrian-American chemist and he was not known to have any residence in Ukraine.']"
Ivan Goncharov,occupation,writer,1,Q189665,P106,Q36180,What is the relationship between 'Ivan Goncharov' and 'writer'?,1. Ivan Goncharov [occupation] writer,['occupation'],occupation,"['True. Reason: Ivan Goncharov is a well-known Russian author, best known for his novel ""Oblomov"". So, it is common knowledge that Ivan Goncharov was a writer.']"
Barry Manilow,country of citizenship,Taiwan,0,Q302762,P27,Q865,What is the relationship between 'Barry Manilow' and 'Taiwan'?,"1. Barry Manilow [performed in] Taiwan; 
2. Barry Manilow [has a fan base in] Taiwan; 
3. Barry Manilow [visited] Taiwan; 
4. Barry Manilow [has a concert in] Taiwan;","['performed in', 'has a fan base in', 'visited', 'has a concert in']",relationship is ambiguous,"['False. Reason: Barry Manilow is an American singer and songwriter who mainly performs in the United States and other English-speaking countries. While he may have performed in various countries around the world during his career, Taiwan is not typically a common location where he is known to perform regularly.', 'True. Reason: Barry Manilow is a well-known singer with a global fan base, so it is plausible that he has a fan base in Taiwan.', 'False. Reason: Barry Manilow is an American singer-songwriter, and there is no common knowledge or information to suggest that he visited Taiwan.', 'True. Reason: Barry Manilow, being a famous singer, often performs concerts in various countries around the world, including Taiwan.']"
Debbie Reynolds,occupation,television actor,1,Q263696,P106,Q10798782,What is the relationship between 'Debbie Reynolds' and 'television actor'?,"1. Debbie Reynolds [cast member] television actor; 
2. Debbie Reynolds [parent organization] television actor; 
3. Debbie Reynolds [spouse] television actor; 
4. Debbie Reynolds [child] television actor; 
5. Debbie Reynolds [sibling] television actor; 
6. Debbie Reynolds [influenced by] television actor;","['cast member', 'parent organization', 'spouse', 'child', 'sibling', 'influenced by']",occupation,"['False. Reason: Debbie Reynolds was a film actress, not a television actor.', 'False. Reason: Debbie Reynolds was a well-known actress in Hollywood rather than a television actor.', 'False. Reason: Debbie Reynolds was not married to a television actor.', 'False. Reason: Debbie Reynolds, the late actress, singer, and businesswoman, is not the child of a television actor. Her daughter, Carrie Fisher, was an actress known for her role as Princess Leia in Star Wars, but she was not a television actor.', 'False. Reason: Debbie Reynolds was not a television actor herself, but rather a film actress and singer.', 'False. Reason: Debbie Reynolds was a famous actress and singer, not a television actor.']"
Afghanistan,religion,Islam,1,Q889,P140,Q432,What is the relationship between 'Afghanistan' and 'Islam'?,"1. Afghanistan [religion] Islam; 
2. Afghanistan [official language] Islam; 
3. Afghanistan [ethnic group] Islam; 
4. Afghanistan [practiced by] Islam; 
5. Afghanistan [influenced by] Islam;","['religion', 'official language', 'ethnic group', 'practiced by', 'influenced by']",religion,"['True. Reason: The majority of the population in Afghanistan practices Islam, making it a valid relationship.', 'False. Reason: The official language of Afghanistan is Pashto and Dari, not Islam. Islam is the predominant religion in Afghanistan, not the official language.', 'True. Reason: The majority of the population in Afghanistan practices Islam, so it is common for people of different ethnic groups in Afghanistan to be followers of Islam.', 'True. Reason: Afghanistan is a predominantly Muslim country where Islam is the main religion practiced by the majority of the population.', ""True. Reason: Afghanistan has been heavily influenced by Islam, both culturally and historically. The majority of the population in Afghanistan practices Islam, and the country's government and society have been shaped by Islamic principles for centuries.""]"
Armenia,continent,Africa,0,Q399,P30,Q15,What is the relationship between 'Armenia' and 'Africa'?,"1. Armenia [continent] Africa; 
2. Armenia [country of citizenship] Africa; 
3. Armenia [diplomatic relation] Africa; 
4. Armenia [trade partner] Africa; 
5. Armenia [foreign relations] Africa.","['continent', 'country of citizenship', 'diplomatic relation', 'trade partner', 'foreign relations']",relationship is ambiguous,"['False. Reason: Armenia is a country located in the continent of Asia, not Africa.', 'False. Reason: Armenia is a country located in the Caucasus region, not in Africa.', 'False. Reason: Armenia is a country located in the South Caucasus region, while Africa is a continent made up of 54 countries. The relationship ""diplomatic relation"" between Armenia and Africa does not make sense as Africa is not a single entity that Armenia can have diplomatic relations with; rather, Armenia can have diplomatic relations with specific countries within Africa.', 'False. Reason: Armenia is a country and Africa is a continent consisting of many countries. Therefore, it is not accurate to say that Armenia is a trade partner with the entire continent of Africa. The relationship should specify a specific country or countries within Africa.', 'False. Reason: Armenia is a country located in the Caucasus region and Africa is a continent, so it is not accurate to say Armenia has foreign relations with Africa as a whole. Typically, countries have foreign relations with other countries, not entire continents.']"
Gene Autry,occupation,film actor,1,Q342723,P106,Q10800557,What is the relationship between 'Gene Autry' and 'film actor'?,"1. Gene Autry [occupation] film actor; 
2. Gene Autry [genre] film actor; 
3. Gene Autry [influenced by] film actor; 
4. Gene Autry [cast member] film actor.","['occupation', 'genre', 'influenced by', 'cast member']",occupation,"['True. Reason: Gene Autry was a prominent figure in the film industry as an actor, singer, and producer, known for his work in Western films and television shows.', 'True. Reason: Gene Autry is known for his career as a film actor, so it is reasonable to assume that he could be associated with the genre of film.', 'True. Reason: Gene Autry, known as the ""Singin\' Cowboy"", was a famous actor, singer, and musician who starred in many Western films. As a film actor himself, it is plausible that Gene Autry could have been influenced by other film actors in the industry.', 'False. Reason: Gene Autry was not a film actor; he was a singer, actor, and rodeo performer known as ""The Singing Cowboy"".']"
Jay-Z,"languages spoken, written, or signed",English,1,Q62766,P1412,Q1860,What is the relationship between 'Jay-Z' and 'English'?,"1. Jay-Z [languages spoken, written, or signed] English; 
2. Jay-Z [place of birth] English; 
3. Jay-Z [residence] English;","['languages spoken, written, or signed', 'place of birth', 'residence']","languages spoken, written, or signed","['True. Reason: Jay-Z is an English-speaking artist and his primary language for communication is English.', 'False. Reason: Jay-Z was born in Brooklyn, New York, USA and not in England, so he is not English by birth.', 'True. Reason: Jay-Z does not reside specifically in the country of England.']"
50 Cent,occupation,film actor,1,Q6060,P106,Q10800557,What is the relationship between '50 Cent' and 'film actor'?,"1. 50 Cent [occupation] film actor; 
2. 50 Cent [cast member] film actor;","['occupation', 'cast member']",occupation,"['False. Reason: 50 Cent is known primarily as a rapper and entrepreneur, not as a film actor.', 'False. Reason: 50 Cent is primarily known as a rapper and not as a film actor. Although he has appeared in some films and TV shows as an actor, his main profession is in the music industry.']"
Charles Dickens,country of citizenship,Spain,0,Q5686,P27,Q29,What is the relationship between 'Charles Dickens' and 'Spain'?,"1. Charles Dickens [visited] Spain;
2. Charles Dickens [mentioned in work] Spain;
3. Charles Dickens [influenced by] Spain;","['visited', 'mentioned in work', 'influenced by']",relationship is ambiguous,"['False. Reason: Charles Dickens never visited Spain during his lifetime.', 'False. Reason: Charles Dickens, a famous British author, is not typically associated with Spain in his works.', 'False. Reason: Charles Dickens, an English novelist, is not typically associated with being influenced by Spain in his writings or personal life.']"
Johnny Cash,spouse,Frank Sinatra,0,Q42775,P26,Q40912,What is the relationship between 'Johnny Cash' and 'Frank Sinatra'?,"1. Johnny Cash [genre] Frank Sinatra;
2. Johnny Cash [musician] Frank Sinatra;
3. Johnny Cash [influenced by] Frank Sinatra;","['genre', 'musician', 'influenced by']",relationship is ambiguous,"['True. Reason: Both Johnny Cash and Frank Sinatra were known for their contributions to the genre of music known as ""pop"", therefore it is reasonable to assume that Johnny Cash could have a genre relationship with Frank Sinatra.', 'True. Reason: Both Johnny Cash and Frank Sinatra are well-known musicians in the music industry, so it is plausible for the relationship ""[\'musician\']"" to exist between them in a knowledge graph.', ""True. Reason: Johnny Cash and Frank Sinatra were both popular American singers from the same era, and it is well-documented that Johnny Cash was influenced by Frank Sinatra's music and style.""]"
Irène Joliot-Curie,spouse,Victor Ambartsumian,0,Q7504,P26,Q164396,What is the relationship between 'Irène Joliot-Curie' and 'Victor Ambartsumian'?,"1. Irène Joliot-Curie [colleague] Victor Ambartsumian;
2. Irène Joliot-Curie [educated at] Victor Ambartsumian;
3. Irène Joliot-Curie [influenced by] Victor Ambartsumian;","['colleague', 'educated at', 'influenced by']",relationship is ambiguous,"['False. Reason: Irène Joliot-Curie was a French physicist and chemist known for her work in radioactivity, while Victor Ambartsumian was an Armenian theoretical astrophysicist. There is no common ground or known collaboration between them to suggest that they were colleagues.', 'False. Reason: Irène Joliot-Curie was a French scientist who studied at the University of Paris, while Victor Ambartsumian was an Armenian astrophysicist who studied at the Leningrad State University. There is no direct educational relationship between Irène Joliot-Curie and Victor Ambartsumian based on their backgrounds.', 'False. Reason: Irène Joliot-Curie was a French scientist known for her work in nuclear physics and received the Nobel Prize in Chemistry, while Victor Ambartsumian was a Soviet Armenian scientist known for his work in theoretical astrophysics. There is no direct evidence or common knowledge to suggest that Irène Joliot-Curie was influenced by Victor Ambartsumian.']"
Saint Kitts and Nevis,member of,Alliance of Small Island States,1,Q763,P463,Q496967,What is the relationship between 'Saint Kitts and Nevis' and 'Alliance of Small Island States'?,1. Saint Kitts and Nevis [member of] Alliance of Small Island States.,['member of'],member of,"['True. Reason: Saint Kitts and Nevis is a member of the Alliance of Small Island States, which is a coalition of small island and low-lying coastal countries.']"
Harry Shearer,residence,New York City,1,Q345325,P551,Q60,What is the relationship between 'Harry Shearer' and 'New York City'?,"1. Harry Shearer [residence] New York City;
2. Harry Shearer [born in] New York City;
3. Harry Shearer [narrative location] New York City; 
4. Harry Shearer [worked in] New York City.","['residence', 'born in', 'narrative location', 'worked in']",residence,"['False. Reason: Harry Shearer is mainly associated with Los Angeles, California, as he is well-known for his work in Hollywood and has been a resident of Los Angeles for many years.', 'False. Reason: Harry Shearer was actually born in Los Angeles, California, not New York City.', 'False. Reason: Harry Shearer is primarily known as a voice actor, comedian, and musician, not as a narrative location. New York City is a city, not a location that would be associated with Harry Shearer in terms of a relationship.', 'False. Reason: Harry Shearer is primarily known as an actor, voice actor, comedian, writer, and musician. While he may have worked in New York City at some point in his career, it is not a defining or well-known aspect of his professional life.']"
Lauren Bacall,place of death,Brooklyn,0,Q104000,P20,Q18419,What is the relationship between 'Lauren Bacall' and 'Brooklyn'?,"1. Lauren Bacall [place of birth] Brooklyn; 
2. Lauren Bacall [residence] Brooklyn; 
3. Lauren Bacall [child] Brooklyn; 
4. Lauren Bacall [narrative location] Brooklyn;","['place of birth', 'residence', 'child', 'narrative location']",relationship is ambiguous,"['True. Reason: Lauren Bacall was born in Brooklyn, New York, so the relationship ""Lauren Bacall [place of birth] Brooklyn"" is factual.', 'False. Reason: Lauren Bacall, the famous actress, is commonly associated with her residence in Los Angeles rather than Brooklyn.', 'False. Reason: Lauren Bacall was an American actress born in The Bronx, New York City, not in Brooklyn.', 'False. Reason: Lauren Bacall was born in The Bronx, New York, not Brooklyn.']"
