head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
Jada Pinkett Smith,field of work,astronomy,0,Q228787,P101,Q333,What is the relationship between 'Jada Pinkett Smith' and 'astronomy'?,Relationship is ambiguous.,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Joe Satriani,instrument,harmonica,1,Q194287,P1303,Q51290,What is the relationship between 'Joe Satriani' and 'harmonica'?,Relationship is ambiguous,['relationship is ambiguous'],instrument,['relationship is ambiguous']
Donny Hathaway,place of death,Rome,0,Q507864,P20,Q220,What is the relationship between 'Donny Hathaway' and 'Rome'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Carl Djerassi,country of citizenship,Ukraine,0,Q78608,P27,Q212,What is the relationship between 'Carl Djerassi' and 'Ukraine'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Ivan Goncharov,occupation,writer,1,Q189665,P106,Q36180,What is the relationship between 'Ivan Goncharov' and 'writer'?,'Ivan Goncharov' [occupation] 'writer',['occupation'],occupation,"['True. Reason: Ivan Goncharov was a Russian novelist and official, known for his novels such as ""Oblomov"" and ""The Precipice"". Therefore, it is true that Ivan Goncharov\'s occupation was a writer.']"
Barry Manilow,country of citizenship,Taiwan,0,Q302762,P27,Q865,What is the relationship between 'Barry Manilow' and 'Taiwan'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Debbie Reynolds,occupation,television actor,1,Q263696,P106,Q10798782,What is the relationship between 'Debbie Reynolds' and 'television actor'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Afghanistan,religion,Islam,1,Q889,P140,Q432,What is the relationship between 'Afghanistan' and 'Islam'?,'Afghanistan' [religion] 'Islam',['religion'],religion,"['True. Reason: The majority of the population in Afghanistan follows Islam as their religion, making the statement ""Afghanistan has Islam as a religion"" true.']"
Armenia,continent,Africa,0,Q399,P30,Q15,What is the relationship between 'Armenia' and 'Africa'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Gene Autry,occupation,film actor,1,Q342723,P106,Q10800557,What is the relationship between 'Gene Autry' and 'film actor'?,'Gene Autry' [occupation] 'film actor',['occupation'],occupation,"['True. Reason: Gene Autry was a well-known film actor, so it is logical to assume that his occupation was indeed a film actor.']"
Jay-Z,"languages spoken, written, or signed",English,1,Q62766,P1412,Q1860,What is the relationship between 'Jay-Z' and 'English'?,"'Jay-Z' [languages spoken, written, or signed] 'English'","['languages spoken, written, or signed']","languages spoken, written, or signed",['True. Reason: Jay-Z is an American rapper and businessman who primarily speaks and writes in English.']
50 Cent,occupation,film actor,1,Q6060,P106,Q10800557,What is the relationship between '50 Cent' and 'film actor'?,'50 Cent' [occupation] 'film actor',['occupation'],occupation,"['False. Reason: 50 Cent is known primarily as a rapper, actor, and entrepreneur, rather than specifically a film actor. While he has appeared in some films, his main occupation is not that of a film actor.']"
Charles Dickens,country of citizenship,Spain,0,Q5686,P27,Q29,What is the relationship between 'Charles Dickens' and 'Spain'?,'Charles Dickens' [visited] 'Spain',['visited'],relationship is ambiguous,['False. Reason: Charles Dickens never visited Spain during his lifetime.']
Johnny Cash,spouse,Frank Sinatra,0,Q42775,P26,Q40912,What is the relationship between 'Johnny Cash' and 'Frank Sinatra'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Irène Joliot-Curie,spouse,Victor Ambartsumian,0,Q7504,P26,Q164396,What is the relationship between 'Irène Joliot-Curie' and 'Victor Ambartsumian'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Saint Kitts and Nevis,member of,Alliance of Small Island States,1,Q763,P463,Q496967,What is the relationship between 'Saint Kitts and Nevis' and 'Alliance of Small Island States'?,'Saint Kitts and Nevis' [member of] 'Alliance of Small Island States',['member of'],member of,"['True. Reason: Saint Kitts and Nevis is a member of the Alliance of Small Island States (AOSIS), which is a coalition of small island and low-lying coastal countries that share similar development challenges and concerns about climate change.']"
Harry Shearer,residence,New York City,1,Q345325,P551,Q60,What is the relationship between 'Harry Shearer' and 'New York City'?,'Harry Shearer' [residence] 'New York City',['residence'],residence,"['False. Reason: Harry Shearer is primarily known to reside in Los Angeles, California, not New York City.']"
Lauren Bacall,place of death,Brooklyn,0,Q104000,P20,Q18419,What is the relationship between 'Lauren Bacall' and 'Brooklyn'?,'Lauren Bacall' [place of birth] 'Brooklyn',['place of birth'],relationship is ambiguous,"['True. Reason: Lauren Bacall was born in Brooklyn, which means she has a relationship with the place of birth ""Brooklyn"".']"
Sabrina Bryan,occupation,television actor,1,Q256708,P106,Q10798782,What is the relationship between 'Sabrina Bryan' and 'television actor'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Léo Ferré,occupation,radio personality,1,Q320146,P106,Q2722764,What is the relationship between 'Léo Ferré' and 'radio personality'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Solomon Islands,official language,English,1,Q685,P37,Q1860,What is the relationship between 'Solomon Islands' and 'English'?,'Solomon Islands' [official language] 'English',['official language'],official language,"['True. Reason: English is indeed one of the official languages of the Solomon Islands, along with Pijin.']"
Milva,genre,progressive rock,0,Q241835,P136,Q49451,What is the relationship between 'Milva' and 'progressive rock'?,Relationship is ambiguous.,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
United Arab Emirates,continent,Europe,0,Q878,P30,Q46,What is the relationship between 'United Arab Emirates' and 'Europe'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Hungary,official language,Russian,0,Q28,P37,Q7737,What is the relationship between 'Hungary' and 'Russian'?,"'Hungary' [languages spoken, written, or signed] 'Russian'","['languages spoken, written, or signed']",relationship is ambiguous,"['False. Reason: Hungarian is the official language of Hungary, not Russian.']"
Nick Cave,genre,country music,1,Q192668,P136,Q83440,What is the relationship between 'Nick Cave' and 'country music'?,'Nick Cave' [genre] 'country music',['genre'],genre,"['False. Reason: Nick Cave is primarily associated with genres such as post-punk, alternative rock, and experimental rock, rather than country music.']"
Walt Disney,medical condition,lung cancer,1,Q8704,P1050,Q47912,What is the relationship between 'Walt Disney' and 'lung cancer'?,'Walt Disney' [cause of death] 'lung cancer',['cause of death'],medical condition,['True. Reason: Walt Disney died of acute circulatory collapse caused by complications from lung cancer.']
Ingrid Michaelson,occupation,lyricist,1,Q242873,P106,Q822146,What is the relationship between 'Ingrid Michaelson' and 'lyricist'?,'Ingrid Michaelson' [occupation] 'lyricist',['occupation'],occupation,"['False. Reason: Ingrid Michaelson is primarily known as a singer-songwriter and musician, not specifically as a lyricist. While it is true that she writes her own music and lyrics, her occupation is commonly categorized as a singer-songwriter.']"
Antonin Artaud,occupation,film actor,1,Q187166,P106,Q10800557,What is the relationship between 'Antonin Artaud' and 'film actor'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Lily Allen,country of citizenship,Austria,0,Q58735,P27,Q40,What is the relationship between 'Lily Allen' and 'Austria'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Vladimir Obruchev,occupation,university teacher,1,Q359568,P106,Q1622272,What is the relationship between 'Vladimir Obruchev' and 'university teacher'?,'Vladimir Obruchev' [occupation] 'university teacher',['occupation'],occupation,"['False. Reason: Vladimir Obruchev was a Russian geologist, paleontologist, and explorer, but he was not a university teacher.']"
Robert Schumann,occupation,musician,1,Q7351,P106,Q639669,What is the relationship between 'Robert Schumann' and 'musician'?,'Robert Schumann' [occupation] 'musician',['occupation'],occupation,"['True. Reason: Robert Schumann was a famous German composer and pianist, so it is true that his occupation was a musician.']"
Panama,official language,Italian,0,Q804,P37,Q652,What is the relationship between 'Panama' and 'Italian'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Fredric Jameson,country of citizenship,India,0,Q347362,P27,Q668,What is the relationship between 'Fredric Jameson' and 'India'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Michael Jackson,genre,dance music,1,Q2831,P136,Q316930,What is the relationship between 'Michael Jackson' and 'dance music'?,'Michael Jackson' [genre] 'dance music',['genre'],genre,"['False. Reason: Michael Jackson is known for being a pop artist rather than a dance music artist. While his music often contains elements of dance music, his primary genre is considered pop.']"
Ernst Chladni,occupation,musicologist,0,Q213579,P106,Q14915627,What is the relationship between 'Ernst Chladni' and 'musicologist'?,'Ernst Chladni' [occupation] 'musicologist',['occupation'],relationship is ambiguous,"['False. Reason: Ernst Chladni was actually a physicist and musician known for his work in acoustics, not a musicologist.']"
Anatole Abragam,"languages spoken, written, or signed",Latin,0,Q487491,P1412,Q397,What is the relationship between 'Anatole Abragam' and 'Latin'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Mikhail Vassilyevich Lomonosov,country of citizenship,Germany,0,Q58720,P27,Q183,What is the relationship between 'Mikhail Vassilyevich Lomonosov' and 'Germany'?,'Mikhail Vassilyevich Lomonosov' [influenced by] 'Germany',['influenced by'],relationship is ambiguous,"['False. Reason: Mikhail Vassilyevich Lomonosov was a prominent Russian scientist, writer, and polymath who lived in the 18th century. He is known for his contributions to various fields such as chemistry, physics, and astronomy. While Lomonosov may have been influenced by German scientific discoveries and scholars of his time, it would be more accurate to say that he was influenced by specific German scientists or works rather than the country as a whole.']"
Hugo Huppert,member of political party,Communist Party of the Soviet Union,1,Q86820,P102,Q79854,What is the relationship between 'Hugo Huppert' and 'Communist Party of the Soviet Union'?,'Hugo Huppert' [member of political party] 'Communist Party of the Soviet Union',['member of political party'],member of political party,"['True. Reason: Hugo Huppert was a member of the Communist Party of Germany during his lifetime, which was a close ally of the Communist Party of the Soviet Union, indicating a possible relationship between him and the party.']"
Marlene Dietrich,country of citizenship,Austria,0,Q4612,P27,Q40,What is the relationship between 'Marlene Dietrich' and 'Austria'?,'Marlene Dietrich' [country of origin] 'Austria',['country of origin'],relationship is ambiguous,"[""False. Reason: Marlene Dietrich's country of origin is Germany, not Austria.""]"
Hermann Usener,"languages spoken, written, or signed",German,1,Q63078,P1412,Q188,What is the relationship between 'Hermann Usener' and 'German'?,'Hermann Usener' [ethnic group] 'German',['ethnic group'],"languages spoken, written, or signed","['False. Reason: Hermann Usener was a German philologist and scholar, not a member of an ethnic group called German. The relationship between Hermann Usener and the ethnic group German does not exist.']"
Benjamin Franklin,occupation,inventor,1,Q34969,P106,Q205375,What is the relationship between 'Benjamin Franklin' and 'inventor'?,'Benjamin Franklin' [occupation] 'inventor',['occupation'],occupation,"['True. Reason: Benjamin Franklin was indeed an inventor, known for his inventions such as the lightning rod and bifocals.']"
Stephen Jay Gould,educated at,University of Chicago,0,Q180619,P69,Q131252,What is the relationship between 'Stephen Jay Gould' and 'University of Chicago'?,'Stephen Jay Gould' [educated at] 'University of Chicago',['educated at'],relationship is ambiguous,"['True. Reason: Stephen Jay Gould was indeed educated at the University of Chicago, where he completed his undergraduate studies and later earned his Ph.D. in paleontology.']"
Guatemala,diplomatic relation,Georgia,1,Q774,P530,Q230,What is the relationship between 'Guatemala' and 'Georgia'?,'Guatemala' [country] 'Georgia',['country'],diplomatic relation,"['False. Reason: Guatemala and Georgia are two separate countries located in different regions of the world (Guatemala in Central America and Georgia in Eurasia), therefore they are not the same entity.']"
Emmanuel Swedenborg,cause of death,stroke,1,Q185832,P509,Q12202,What is the relationship between 'Emmanuel Swedenborg' and 'stroke'?,'Emmanuel Swedenborg' [medical condition] 'stroke',['medical condition'],cause of death,['False. Reason: Emmanuel Swedenborg did not have a stroke.']
Carl Djerassi,country of citizenship,Hungary,0,Q78608,P27,Q28,What is the relationship between 'Carl Djerassi' and 'Hungary'?,'Carl Djerassi' [country of origin] 'Hungary',['country of origin'],relationship is ambiguous,['False. Reason: Carl Djerassi was born in Austria and his family emigrated to the United States in 1939. There is no indication that he has any relationship with Hungary as his country of origin.']
Thomas Hobbes,occupation,translator,1,Q37621,P106,Q333634,What is the relationship between 'Thomas Hobbes' and 'translator'?,'Thomas Hobbes' [practiced by] 'translator',['practiced by'],occupation,"['False. Reason: Thomas Hobbes was a philosopher and political theorist, not a translator.']"
Germany,diplomatic relation,North Korea,1,Q183,P530,Q423,What is the relationship between 'Germany' and 'North Korea'?,'Germany' [diplomatic relation] 'North Korea',['diplomatic relation'],diplomatic relation,['False. Reason: Germany does not have diplomatic relations with North Korea.']
Thomas Anders,country of citizenship,Canada,0,Q77143,P27,Q16,What is the relationship between 'Thomas Anders' and 'Canada'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
United States of America,diplomatic relation,Niger,1,Q30,P530,Q1032,What is the relationship between 'United States of America' and 'Niger'?,'United States of America' [country] 'Niger',['country'],diplomatic relation,['False. Reason: The United States of America is not geographically adjacent to Niger.']
Galina Vishnevskaya,place of death,Berlin,0,Q230916,P20,Q64,What is the relationship between 'Galina Vishnevskaya' and 'Berlin'?,'Galina Vishnevskaya' [residence] 'Berlin',['residence'],relationship is ambiguous,"['False. Reason: Galina Vishnevskaya, a Russian opera singer, is known to have spent most of her life in Moscow, Russia, and not in Berlin.']"
Theodor Mommsen,country of citizenship,France,0,Q25351,P27,Q142,What is the relationship between 'Theodor Mommsen' and 'France'?,'Theodor Mommsen' [diplomatic relation] 'France',['diplomatic relation'],relationship is ambiguous,"['False. Reason: Theodor Mommsen was a German historian and Nobel laureate, known for his work on Roman history. He does not have a diplomatic relation with France in the context of a knowledge graph.']"
John Updike,member of,American Philosophical Society,0,Q105756,P463,Q466089,What is the relationship between 'John Updike' and 'American Philosophical Society'?,'John Updike' [member of] 'American Philosophical Society',['member of'],relationship is ambiguous,"['True. Reason: John Updike was indeed a member of the American Philosophical Society, which is a scholarly organization founded in 1743.']"
Jon Bon Jovi,country of citizenship,Spain,0,Q150916,P27,Q29,What is the relationship between 'Jon Bon Jovi' and 'Spain'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Miley Cyrus,occupation,musician,1,Q4235,P106,Q639669,What is the relationship between 'Miley Cyrus' and 'musician'?,'Miley Cyrus' [occupation] 'musician',['occupation'],occupation,"['True. Reason: Miley Cyrus is known for her career as a musician, so the relationship between Miley Cyrus and the occupation of being a musician is true based on common knowledge.']"
Phil Harris,genre,rock music,0,Q596717,P136,Q11399,What is the relationship between 'Phil Harris' and 'rock music'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Germany,diplomatic relation,Republic of the Congo,1,Q183,P530,Q971,What is the relationship between 'Germany' and 'Republic of the Congo'?,'Germany' [colonizer] 'Republic of the Congo',['colonizer'],diplomatic relation,"['False. Reason: Germany did colonize some African territories, but Republic of the Congo was primarily colonized by France, not Germany.']"
Sudan,diplomatic relation,Germany,1,Q1049,P530,Q183,What is the relationship between 'Sudan' and 'Germany'?,'Sudan' [diplomatic relation] 'Germany',['diplomatic relation'],diplomatic relation,"['False. Reason: Sudan and Germany have established diplomatic relations, so the relationship stated in the triple is True.']"
Chuck Berry,country of citizenship,United Kingdom,0,Q5921,P27,Q145,What is the relationship between 'Chuck Berry' and 'United Kingdom'?,'Chuck Berry' [country] 'United Kingdom',['country'],relationship is ambiguous,"['False. Reason: Chuck Berry was an American singer, songwriter, and guitarist, known as one of the pioneers of rock and roll music. He was born and raised in the United States, not in the United Kingdom.']"
Guglielmo Marconi,country of citizenship,Greece,0,Q36488,P27,Q41,What is the relationship between 'Guglielmo Marconi' and 'Greece'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Van Morrison,instrument,voice,1,Q272203,P1303,Q17172850,What is the relationship between 'Van Morrison' and 'voice'?,'Van Morrison' [instrument] 'voice',['instrument'],instrument,"['True. Reason: Van Morrison is a singer known for his distinctive voice, not for playing instruments.']"
Barbara Mandrell,instrument,voice,1,Q292373,P1303,Q17172850,What is the relationship between 'Barbara Mandrell' and 'voice'?,'Barbara Mandrell' [instrument] 'voice',['instrument'],instrument,['False. Reason: An instrument is not typically associated with having a voice in the context of a knowledge graph.']
Heinrich Wilhelm Gottfried von Waldeyer-Hartz,place of death,Saint Petersburg,0,Q76772,P20,Q656,What is the relationship between 'Heinrich Wilhelm Gottfried von Waldeyer-Hartz' and 'Saint Petersburg'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Joseph Louis Gay-Lussac,occupation,physicist,1,Q153185,P106,Q169470,What is the relationship between 'Joseph Louis Gay-Lussac' and 'physicist'?,'Joseph Louis Gay-Lussac' [field of work] 'physicist',['field of work'],occupation,"['True. Reason: Joseph Louis Gay-Lussac was a physicist known for his work in the field of physics, specifically in gas laws and stoichiometry.']"
James Brown,country of citizenship,Canada,0,Q5950,P27,Q16,What is the relationship between 'James Brown' and 'Canada'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Yuri Vizbor,occupation,songwriter,1,Q582152,P106,Q753110,What is the relationship between 'Yuri Vizbor' and 'songwriter'?,'Yuri Vizbor' [occupation] 'songwriter',['occupation'],occupation,"['False. Reason: Yuri Vizbor is known as a poet, writer, and bard, but not specifically as a songwriter.']"
Saint Lucia,official language,Russian,0,Q760,P37,Q7737,What is the relationship between 'Saint Lucia' and 'Russian'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Harald Weinrich,member of,Academia Europaea,1,Q69631,P463,Q337234,What is the relationship between 'Harald Weinrich' and 'Academia Europaea'?,'Harald Weinrich' [member of] 'Academia Europaea',['member of'],member of,"['True. Reason: Harald Weinrich is a well-known German philologist and literary scholar who was elected as a member of Academia Europaea, which is a European, non-governmental academy.']"
Mexico,diplomatic relation,Denmark,1,Q96,P530,Q35,What is the relationship between 'Mexico' and 'Denmark'?,'Mexico' [diplomatic relation] 'Denmark',['diplomatic relation'],diplomatic relation,"['True. Reason: It is common knowledge that countries can have diplomatic relations with each other. Therefore, it is true that Mexico can have diplomatic relations with Denmark.']"
Tunisia,member of,African Development Bank,1,Q948,P463,Q340195,What is the relationship between 'Tunisia' and 'African Development Bank'?,'Tunisia' [member of] 'African Development Bank',['member of'],member of,"['False. Reason: Tunisia is a member of the African Development Bank, so the relationship is True.']"
Ignaz Moscheles,ethnic group,Jewish people,1,Q159551,P172,Q7325,What is the relationship between 'Ignaz Moscheles' and 'Jewish people'?,'Ignaz Moscheles' [ethnic group] 'Jewish people',['ethnic group'],ethnic group,"['False. Reason: Ignaz Moscheles was a Jewish composer and pianist himself, rather than being a representation of the entire Jewish people as an ethnic group.']"
Arthur Miller,occupation,diarist,0,Q80596,P106,Q18939491,What is the relationship between 'Arthur Miller' and 'diarist'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Lenny Kravitz,country of citizenship,India,0,Q180224,P27,Q668,What is the relationship between 'Lenny Kravitz' and 'India'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Alexis de Tocqueville,country of citizenship,United States of America,0,Q140694,P27,Q30,What is the relationship between 'Alexis de Tocqueville' and 'United States of America'?,'Alexis de Tocqueville' [visited] 'United States of America'.,['visited'],relationship is ambiguous,['False. Reason: Alexis de Tocqueville was a French political thinker and historian who visited the United States of America in the early 19th century to study its political system and society.']
Sebastian Haffner,place of death,Göttingen,0,Q57535,P20,Q3033,What is the relationship between 'Sebastian Haffner' and 'Göttingen'?,'Sebastian Haffner' [place of birth] 'Göttingen',['place of birth'],relationship is ambiguous,"['True. Reason: Sebastian Haffner was born in Berlin, Germany, not in Göttingen.']"
Jerry Lewis,occupation,singer-songwriter,1,Q294927,P106,Q488205,What is the relationship between 'Jerry Lewis' and 'singer-songwriter'?,Relationship is ambiguous.,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Prince,occupation,film producer,1,Q7542,P106,Q3282637,What is the relationship between 'Prince' and 'film producer'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Bangladesh,diplomatic relation,Belarus,1,Q902,P530,Q184,What is the relationship between 'Bangladesh' and 'Belarus'?,'Bangladesh' [diplomatic relation] 'Belarus',['diplomatic relation'],diplomatic relation,"['False. Reason: It is unlikely for Bangladesh to have diplomatic relations with Belarus, as they are geographically distant and do not have significant historical or cultural ties.']"
Richard Wright,country of citizenship,Kingdom of Italy,0,Q190251,P27,Q172579,What is the relationship between 'Richard Wright' and 'Kingdom of Italy'?,'Richard Wright' [diplomatic relation] 'Kingdom of Italy',['diplomatic relation'],relationship is ambiguous,['False. Reason: Richard Wright was an American author known for his works on racial issues and African-American culture. There is no known diplomatic relation between Richard Wright and the Kingdom of Italy.']
Sheryl Crow,field of work,musical composition,1,Q200586,P101,Q207628,What is the relationship between 'Sheryl Crow' and 'musical composition'?,'Sheryl Crow' [notable works] 'musical composition',['notable works'],field of work,"['False. Reason: Sheryl Crow is a musician and singer-songwriter known for her musical performances and compositions, not for composing works by other artists.']"
Mikhail Lermontov,place of birth,Los Angeles,0,Q46599,P19,Q65,What is the relationship between 'Mikhail Lermontov' and 'Los Angeles'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Mario Vargas Llosa,occupation,university teacher,1,Q39803,P106,Q1622272,What is the relationship between 'Mario Vargas Llosa' and 'university teacher'?,'Mario Vargas Llosa' [occupation] 'university teacher',['occupation'],occupation,"['False. Reason: Mario Vargas Llosa is a well-known Peruvian writer and politician, but he is not primarily known as a university teacher. His main occupations are in the fields of literature and politics, rather than academic teaching.']"
Günther Anders,place of death,New York City,0,Q60884,P20,Q60,What is the relationship between 'Günther Anders' and 'New York City'?,'Günther Anders' [residence] 'New York City',['residence'],relationship is ambiguous,"['False. Reason: Günther Anders, the Austrian philosopher, did not reside in New York City. He spent most of his life living in various places in Europe, such as Vienna, Paris, and Italy.']"
Switzerland,diplomatic relation,European Union,1,Q39,P530,Q458,What is the relationship between 'Switzerland' and 'European Union'?,'Switzerland' [not part of] 'European Union',['not part of'],diplomatic relation,['True. Reason: Switzerland is not a member of the European Union.']
Randy Newman,occupation,composer,1,Q318475,P106,Q36834,What is the relationship between 'Randy Newman' and 'composer'?,'Randy Newman' [occupation] 'composer',['occupation'],occupation,"['True. Reason: Randy Newman is well-known for being a composer, as he has composed music for numerous films and TV shows, as well as released his own albums.']"
Thomas Paine,country of citizenship,Hungary,0,Q126462,P27,Q28,What is the relationship between 'Thomas Paine' and 'Hungary'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Herman Francis Mark,country of citizenship,Germany,0,Q85914,P27,Q183,What is the relationship between 'Herman Francis Mark' and 'Germany'?,'Herman Francis Mark' [country of citizenship] 'Germany',['country of citizenship'],relationship is ambiguous,"['True. Reason: Herman Francis Mark was born in Germany and spent a significant portion of his life there, making it likely that he held German citizenship.']"
Jacques Brel,occupation,screenwriter,1,Q1666,P106,Q28389,What is the relationship between 'Jacques Brel' and 'screenwriter'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
David Bowie,record label,Warner Bros. Records,0,Q5383,P264,Q843402,What is the relationship between 'David Bowie' and 'Warner Bros. Records'?,'David Bowie' [record label] 'Warner Bros. Records',['record label'],relationship is ambiguous,['True. Reason: David Bowie was signed to Warner Bros. Records for a period of time during his career.']
