head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
Claudio Magris,genre,essay,1,Q274404,P136,Q35760,What is the relationship between 'Claudio Magris' and 'essay'?,Claudio Magris [genre] essay,['genre'],genre,"['True. Reason: Claudio Magris is known for writing essays, so it is common knowledge that the relationship between Claudio Magris and the genre of essay is true.']"
Natasha Shneider,country of citizenship,India,0,Q432421,P27,Q668,What is the relationship between 'Natasha Shneider' and 'India'?,Natasha Shneider [country of citizenship] India,['country of citizenship'],relationship is ambiguous,"['False. Reason: Natasha Shneider was a Russian-American musician and composer, not Indian.']"
Anatole Abragam,"languages spoken, written, or signed",German,0,Q487491,P1412,Q188,What is the relationship between 'Anatole Abragam' and 'German'?,Anatole Abragam [educated at] German,['educated at'],relationship is ambiguous,"['False. Reason: Anatole Abragam was a French physicist and not German, so he was not educated in Germany.']"
Buckminster Fuller,place of death,Rome,0,Q102289,P20,Q220,What is the relationship between 'Buckminster Fuller' and 'Rome'?,Relationship is ambiguous.,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Jada Pinkett Smith,field of work,astronomy,0,Q228787,P101,Q333,What is the relationship between 'Jada Pinkett Smith' and 'astronomy'?,Jada Pinkett Smith [interest in] astronomy.,['interest in'],relationship is ambiguous,['False. Reason: Jada Pinkett Smith is primarily known as an actress and not specifically for having a public interest or involvement in astronomy.']
Joe Satriani,instrument,harmonica,1,Q194287,P1303,Q51290,What is the relationship between 'Joe Satriani' and 'harmonica'?,Joe Satriani [instrument] harmonica,['instrument'],instrument,"['False. Reason: Joe Satriani is primarily known for playing the guitar, not the harmonica.']"
Donny Hathaway,place of death,Rome,0,Q507864,P20,Q220,What is the relationship between 'Donny Hathaway' and 'Rome'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Carl Djerassi,country of citizenship,Ukraine,0,Q78608,P27,Q212,What is the relationship between 'Carl Djerassi' and 'Ukraine'?,Carl Djerassi [country of citizenship] Ukraine,['country of citizenship'],relationship is ambiguous,"['False. Reason: Carl Djerassi was an Austrian-American chemist, not associated with being a citizen of Ukraine.']"
Ivan Goncharov,occupation,writer,1,Q189665,P106,Q36180,What is the relationship between 'Ivan Goncharov' and 'writer'?,Ivan Goncharov [occupation] writer,['occupation'],occupation,"['True. Reason: Ivan Goncharov was a Russian novelist and writer known for his works such as ""Oblomov"".']"
Barry Manilow,country of citizenship,Taiwan,0,Q302762,P27,Q865,What is the relationship between 'Barry Manilow' and 'Taiwan'?,Barry Manilow [performed in] Taiwan.,['performed in'],relationship is ambiguous,['False. Reason: Barry Manilow is primarily known for his music career in the United States and has not been widely reported to have performed in Taiwan.']
Debbie Reynolds,occupation,television actor,1,Q263696,P106,Q10798782,What is the relationship between 'Debbie Reynolds' and 'television actor'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Afghanistan,religion,Islam,1,Q889,P140,Q432,What is the relationship between 'Afghanistan' and 'Islam'?,Afghanistan [religion] Islam.,['religion'],religion,['True. Reason: The majority of the population in Afghanistan follows Islam as the dominant religion.']
Armenia,continent,Africa,0,Q399,P30,Q15,What is the relationship between 'Armenia' and 'Africa'?,Armenia [continent] Africa,['continent'],relationship is ambiguous,['False. Reason: Armenia is not located in Africa; it is located in the continent of Asia.']
Gene Autry,occupation,film actor,1,Q342723,P106,Q10800557,What is the relationship between 'Gene Autry' and 'film actor'?,Gene Autry [occupation] film actor,['occupation'],occupation,"['True. Reason: Gene Autry was known for his work as a film actor, singer, and producer.']"
Jay-Z,"languages spoken, written, or signed",English,1,Q62766,P1412,Q1860,What is the relationship between 'Jay-Z' and 'English'?,"Jay-Z [languages spoken, written, or signed] English","['languages spoken, written, or signed']","languages spoken, written, or signed","['True. Reason: Jay-Z is an American rapper, songwriter, and entrepreneur who predominantly speaks and writes in English.']"
50 Cent,occupation,film actor,1,Q6060,P106,Q10800557,What is the relationship between '50 Cent' and 'film actor'?,50 Cent [occupation] film actor,['occupation'],occupation,"['False. Reason: 50 Cent is primarily known as a rapper and entrepreneur, not a film actor.']"
Charles Dickens,country of citizenship,Spain,0,Q5686,P27,Q29,What is the relationship between 'Charles Dickens' and 'Spain'?,Charles Dickens [visited] Spain.,['visited'],relationship is ambiguous,['False. Reason: Charles Dickens did not visit Spain in his lifetime.']
Johnny Cash,spouse,Frank Sinatra,0,Q42775,P26,Q40912,What is the relationship between 'Johnny Cash' and 'Frank Sinatra'?,Relationship is ambiguous.,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Irène Joliot-Curie,spouse,Victor Ambartsumian,0,Q7504,P26,Q164396,What is the relationship between 'Irène Joliot-Curie' and 'Victor Ambartsumian'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Saint Kitts and Nevis,member of,Alliance of Small Island States,1,Q763,P463,Q496967,What is the relationship between 'Saint Kitts and Nevis' and 'Alliance of Small Island States'?,Saint Kitts and Nevis [member of] Alliance of Small Island States,['member of'],member of,"['True. Reason: Saint Kitts and Nevis is a member of the Alliance of Small Island States (AOSIS), which is a coalition of small and low-lying coastal countries that share similar development challenges and concerns about the environment and climate change.']"
Harry Shearer,residence,New York City,1,Q345325,P551,Q60,What is the relationship between 'Harry Shearer' and 'New York City'?,Harry Shearer [residence] New York City,['residence'],residence,['False. Reason: Harry Shearer does not reside in New York City. He is known to live in California.']
Lauren Bacall,place of death,Brooklyn,0,Q104000,P20,Q18419,What is the relationship between 'Lauren Bacall' and 'Brooklyn'?,Lauren Bacall [place of birth] Brooklyn,['place of birth'],relationship is ambiguous,"['True. Reason: Lauren Bacall was indeed born in Brooklyn, New York, as supported by common knowledge and various sources.']"
Sabrina Bryan,occupation,television actor,1,Q256708,P106,Q10798782,What is the relationship between 'Sabrina Bryan' and 'television actor'?,Sabrina Bryan [occupation] television actor,['occupation'],occupation,"['False. Reason: Sabrina Bryan is a singer, actress, author, and television personality, not specifically a television actor.']"
Léo Ferré,occupation,radio personality,1,Q320146,P106,Q2722764,What is the relationship between 'Léo Ferré' and 'radio personality'?,Léo Ferré [occupation] radio personality,['occupation'],occupation,"['False. Reason: Léo Ferré was a French singer-songwriter, poet, and composer, not a radio personality.']"
Solomon Islands,official language,English,1,Q685,P37,Q1860,What is the relationship between 'Solomon Islands' and 'English'?,Solomon Islands [official language] English,['official language'],official language,['True. Reason: English is indeed one of the official languages of the Solomon Islands.']
Milva,genre,progressive rock,0,Q241835,P136,Q49451,What is the relationship between 'Milva' and 'progressive rock'?,Milva [genre] progressive rock,['genre'],relationship is ambiguous,"['False. Reason: Milva is an Italian singer known for her work in the pop and folk music genres, not progressive rock.']"
United Arab Emirates,continent,Europe,0,Q878,P30,Q46,What is the relationship between 'United Arab Emirates' and 'Europe'?,United Arab Emirates [continent] Europe,['continent'],relationship is ambiguous,"['False. Reason: The United Arab Emirates is located in Asia, not in Europe.']"
Hungary,official language,Russian,0,Q28,P37,Q7737,What is the relationship between 'Hungary' and 'Russian'?,Relationship is ambiguous.,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Nick Cave,genre,country music,1,Q192668,P136,Q83440,What is the relationship between 'Nick Cave' and 'country music'?,Nick Cave [genre] country music.,['genre'],genre,"['False. Reason: Nick Cave is primarily associated with the genres of post-punk, alternative rock, and gothic rock, rather than country music.']"
Walt Disney,medical condition,lung cancer,1,Q8704,P1050,Q47912,What is the relationship between 'Walt Disney' and 'lung cancer'?,Walt Disney [cause of death] lung cancer,['cause of death'],medical condition,"['True. Reason: Walt Disney passed away due to lung cancer in 1966, as it is widely documented that he died from complications related to lung cancer.']"
Ingrid Michaelson,occupation,lyricist,1,Q242873,P106,Q822146,What is the relationship between 'Ingrid Michaelson' and 'lyricist'?,Ingrid Michaelson [occupation] lyricist,['occupation'],occupation,"['True. Reason: Ingrid Michaelson is a well-known singer-songwriter who writes and performs her own songs, indicating that she is a lyricist.']"
Antonin Artaud,occupation,film actor,1,Q187166,P106,Q10800557,What is the relationship between 'Antonin Artaud' and 'film actor'?,Antonin Artaud [occupation] film actor,['occupation'],occupation,"['False. Reason: Antonin Artaud is known as a playwright, poet, actor, and theatre director, but not specifically as a film actor.']"
Lily Allen,country of citizenship,Austria,0,Q58735,P27,Q40,What is the relationship between 'Lily Allen' and 'Austria'?,"Lily Allen [language spoken, written, or signed] Austria","['language spoken, written, or signed']",relationship is ambiguous,"['False. Reason: Lily Allen is a British singer and songwriter, not a language. Austria is a country in Europe.']"
Vladimir Obruchev,occupation,university teacher,1,Q359568,P106,Q1622272,What is the relationship between 'Vladimir Obruchev' and 'university teacher'?,Vladimir Obruchev [occupation] university teacher.,['occupation'],occupation,"['True. Reason: Vladimir Obruchev was a Russian and Soviet geologist who also worked as a university teacher, specializing in geology and paleontology.']"
Robert Schumann,occupation,musician,1,Q7351,P106,Q639669,What is the relationship between 'Robert Schumann' and 'musician'?,Robert Schumann [occupation] musician,['occupation'],occupation,"['True. Reason: Robert Schumann was a German composer, pianist, and music critic, so it is true that his occupation was a musician.']"
Panama,official language,Italian,0,Q804,P37,Q652,What is the relationship between 'Panama' and 'Italian'?,Panama [official language] Italian,['official language'],relationship is ambiguous,"['False. Reason: The official language of Panama is Spanish, not Italian.']"
Fredric Jameson,country of citizenship,India,0,Q347362,P27,Q668,What is the relationship between 'Fredric Jameson' and 'India'?,Fredric Jameson [influenced by] India,['influenced by'],relationship is ambiguous,"['False. Reason: Fredric Jameson is an American literary critic and Marxist political theorist, known for his work in postmodernism and cultural theory. There is no known direct relationship between Fredric Jameson and India in terms of influence.']"
Michael Jackson,genre,dance music,1,Q2831,P136,Q316930,What is the relationship between 'Michael Jackson' and 'dance music'?,Michael Jackson [genre] dance music,['genre'],genre,"['False. Reason: Michael Jackson is primarily associated with the genre of pop music, not specifically dance music. Although he incorporated elements of dance music into his songs, his overall genre is considered to be pop.']"
Ernst Chladni,occupation,musicologist,0,Q213579,P106,Q14915627,What is the relationship between 'Ernst Chladni' and 'musicologist'?,Ernst Chladni [influenced by] musicologist,['influenced by'],relationship is ambiguous,['False. Reason: Ernst Chladni was a physicist and musician known for his work in acoustics and the study of vibrating plates. He was not influenced by a musicologist.']
Anatole Abragam,"languages spoken, written, or signed",Latin,0,Q487491,P1412,Q397,What is the relationship between 'Anatole Abragam' and 'Latin'?,"Anatole Abragam [languages spoken, written, or signed] Latin","['languages spoken, written, or signed']",relationship is ambiguous,"['True. Reason: Anatole Abragam is a French physicist and author known for his work in nuclear magnetism, which suggests that he may have knowledge of Latin as it is a classical language commonly studied by scholars.']"
Mikhail Vassilyevich Lomonosov,country of citizenship,Germany,0,Q58720,P27,Q183,What is the relationship between 'Mikhail Vassilyevich Lomonosov' and 'Germany'?,Mikhail Vassilyevich Lomonosov [educated at] Germany,['educated at'],relationship is ambiguous,"['False. Reason: Mikhail Vassilyevich Lomonosov was not educated in Germany. He was educated at the State Academic University in Moscow, Russia, and did not study in Germany.']"
Hugo Huppert,member of political party,Communist Party of the Soviet Union,1,Q86820,P102,Q79854,What is the relationship between 'Hugo Huppert' and 'Communist Party of the Soviet Union'?,Hugo Huppert [member of] Communist Party of the Soviet Union,['member of'],member of political party,"['False. Reason: Hugo Huppert cannot be a member of the Communist Party of the Soviet Union as he is a fictional character in the movie ""The Lives of Others"" and not a real person.']"
Marlene Dietrich,country of citizenship,Austria,0,Q4612,P27,Q40,What is the relationship between 'Marlene Dietrich' and 'Austria'?,Marlene Dietrich [nationality] Austria.,['nationality'],relationship is ambiguous,"['False. Reason: Marlene Dietrich was born in Germany and later became an American citizen, but she was not of Austrian nationality.']"
Hermann Usener,"languages spoken, written, or signed",German,1,Q63078,P1412,Q188,What is the relationship between 'Hermann Usener' and 'German'?,Herman Usener [country of citizenship] Germany,['country of citizenship'],"languages spoken, written, or signed","['True. Reason: Hermann Usener was a German scholar and philosopher, therefore it is true that he was a citizen of Germany.']"
Benjamin Franklin,occupation,inventor,1,Q34969,P106,Q205375,What is the relationship between 'Benjamin Franklin' and 'inventor'?,Benjamin Franklin [occupation] inventor,['occupation'],occupation,"['True. Reason: Benjamin Franklin was indeed an inventor, known for his inventions such as the lightning rod, bifocals, and the Franklin stove.']"
Stephen Jay Gould,educated at,University of Chicago,0,Q180619,P69,Q131252,What is the relationship between 'Stephen Jay Gould' and 'University of Chicago'?,Stephen Jay Gould [educated at] University of Chicago,['educated at'],relationship is ambiguous,"['True. Reason: Stephen Jay Gould was educated at the University of Chicago, where he received his undergraduate degree in 1963.']"
Guatemala,diplomatic relation,Georgia,1,Q774,P530,Q230,What is the relationship between 'Guatemala' and 'Georgia'?,Guatemala [country] Georgia,['country'],diplomatic relation,"['False. Reason: Guatemala and Georgia are two different countries located in different regions (Guatemala in Central America and Georgia in Europe), so they are not the same country.']"
Emmanuel Swedenborg,cause of death,stroke,1,Q185832,P509,Q12202,What is the relationship between 'Emmanuel Swedenborg' and 'stroke'?,Emmanuel Swedenborg [medical condition] stroke.,['medical condition'],cause of death,['False. Reason: Emmanuel Swedenborg did not have a stroke.']
Carl Djerassi,country of citizenship,Hungary,0,Q78608,P27,Q28,What is the relationship between 'Carl Djerassi' and 'Hungary'?,Carl Djerassi [country of citizenship] Hungary.,['country of citizenship'],relationship is ambiguous,"[""False. Reason: Carl Djerassi's country of citizenship is Austria, not Hungary.""]"
Thomas Hobbes,occupation,translator,1,Q37621,P106,Q333634,What is the relationship between 'Thomas Hobbes' and 'translator'?,Thomas Hobbes [translator] Relationship is ambiguous,"['translator', 'relationship is ambiguous']",occupation,"['True. Reason: Thomas Hobbes was not a translator himself, but the relationship between him and the concept of a ""translator"" exists since he had some of his works translated into different languages by other people.', 'relationship is ambiguous']"
Germany,diplomatic relation,North Korea,1,Q183,P530,Q423,What is the relationship between 'Germany' and 'North Korea'?,Germany [diplomatic relation] North Korea,['diplomatic relation'],diplomatic relation,"['False. Reason: It is highly unlikely for Germany to have diplomatic relations with North Korea due to the vast ideological, political, and social differences between the two countries. North Korea is known for its isolationist policies and human rights abuses, which would make establishing diplomatic relations with a democratic country like Germany challenging.']"
Thomas Anders,country of citizenship,Canada,0,Q77143,P27,Q16,What is the relationship between 'Thomas Anders' and 'Canada'?,Thomas Anders [country of citizenship] Canada,['country of citizenship'],relationship is ambiguous,"['False. Reason: Thomas Anders is a German singer and record producer, known for his time in the duo Modern Talking. He was born in Münstermaifeld, Germany, and is a German citizen. Hence, it is not true that he has Canadian citizenship.']"
United States of America,diplomatic relation,Niger,1,Q30,P530,Q1032,What is the relationship between 'United States of America' and 'Niger'?,'United States of America' [country] 'Niger',['country'],diplomatic relation,"['False. Reason: The United States of America and Niger are two distinct countries located on different continents (North America and Africa, respectively), so they cannot have a direct country relationship between them.']"
Galina Vishnevskaya,place of death,Berlin,0,Q230916,P20,Q64,What is the relationship between 'Galina Vishnevskaya' and 'Berlin'?,Galina Vishnevskaya [residence] Berlin.,['residence'],relationship is ambiguous,"['False. Reason: Galina Vishnevskaya, a Russian opera singer, was primarily associated with Moscow, Russia, where she lived and worked for most of her life. There is no known relationship between her and Berlin.']"
Theodor Mommsen,country of citizenship,France,0,Q25351,P27,Q142,What is the relationship between 'Theodor Mommsen' and 'France'?,Theodor Mommsen [influenced by] France,['influenced by'],relationship is ambiguous,['False. Reason: Theodor Mommsen was a German historian and jurist who was not influenced by France but rather by other German and Roman sources in his work.']
John Updike,member of,American Philosophical Society,0,Q105756,P463,Q466089,What is the relationship between 'John Updike' and 'American Philosophical Society'?,John Updike [member of] American Philosophical Society,['member of'],relationship is ambiguous,"['True. Reason: John Updike was a member of the American Philosophical Society, as he was elected to this prestigious organization in 2006.']"
Jon Bon Jovi,country of citizenship,Spain,0,Q150916,P27,Q29,What is the relationship between 'Jon Bon Jovi' and 'Spain'?,Jon Bon Jovi [performed in] Spain.,['performed in'],relationship is ambiguous,"['False. Reason: Jon Bon Jovi is a famous American musician who is primarily known for his performances in the United States and other English-speaking countries. While it is possible that he may have performed in Spain at some point in his career, it is not a common or widely known occurrence. Therefore, it is more likely that he has not performed in Spain.']"
Miley Cyrus,occupation,musician,1,Q4235,P106,Q639669,What is the relationship between 'Miley Cyrus' and 'musician'?,Miley Cyrus [occupation] musician,['occupation'],occupation,"['True. Reason: Miley Cyrus is known for being a musician, so it is logical to say that her occupation is a musician.']"
Phil Harris,genre,rock music,0,Q596717,P136,Q11399,What is the relationship between 'Phil Harris' and 'rock music'?,Phil Harris [genre] rock music,['genre'],relationship is ambiguous,"['False. Reason: Phil Harris was a jazz musician and bandleader, not associated with rock music.']"
Germany,diplomatic relation,Republic of the Congo,1,Q183,P530,Q971,What is the relationship between 'Germany' and 'Republic of the Congo'?,Germany [country] Republic of the Congo,['country'],diplomatic relation,"['False. Reason: Germany is not geographically close to the Republic of the Congo, and they are two separate countries located on different continents (Germany in Europe and the Republic of the Congo in Africa).']"
Sudan,diplomatic relation,Germany,1,Q1049,P530,Q183,What is the relationship between 'Sudan' and 'Germany'?,Relationship is ambiguous.,['relationship is ambiguous'],diplomatic relation,['relationship is ambiguous']
Chuck Berry,country of citizenship,United Kingdom,0,Q5921,P27,Q145,What is the relationship between 'Chuck Berry' and 'United Kingdom'?,Chuck Berry [influenced by] United Kingdom,['influenced by'],relationship is ambiguous,"['False. Reason: Chuck Berry, an American musician, was not influenced by the country United Kingdom.']"
Guglielmo Marconi,country of citizenship,Greece,0,Q36488,P27,Q41,What is the relationship between 'Guglielmo Marconi' and 'Greece'?,Guglielmo Marconi [influenced by] Greece.,['influenced by'],relationship is ambiguous,"['False. Reason: Guglielmo Marconi, an Italian inventor and electrical engineer, is known for his work in developing long-distance radio transmission. There is no direct influence relationship between Guglielmo Marconi and Greece based on common sense.']"
Van Morrison,instrument,voice,1,Q272203,P1303,Q17172850,What is the relationship between 'Van Morrison' and 'voice'?,Van Morrison [instrument] voice,['instrument'],instrument,"['True. Reason: Van Morrison is a singer, and singers typically use their voice as their primary instrument to perform.']"
Barbara Mandrell,instrument,voice,1,Q292373,P1303,Q17172850,What is the relationship between 'Barbara Mandrell' and 'voice'?,Barbara Mandrell [instrument] voice,['instrument'],instrument,"['False. Reason: Barbara Mandrell is a country music singer and musician, known for playing instruments like guitar, saxophone, and banjo. The relationship mentioned, where ""instrument"" is related to ""voice"", does not make sense as voice is not typically considered an instrument.']"
Heinrich Wilhelm Gottfried von Waldeyer-Hartz,place of death,Saint Petersburg,0,Q76772,P20,Q656,What is the relationship between 'Heinrich Wilhelm Gottfried von Waldeyer-Hartz' and 'Saint Petersburg'?,"""Heinrich Wilhelm Gottfried von Waldeyer-Hartz [place of birth] Saint Petersburg""",['place of birth'],relationship is ambiguous,"['True. Reason: Heinrich Wilhelm Gottfried von Waldeyer-Hartz was indeed born in Saint Petersburg, as he was a German anatomist and father of the ""chromosomes"" theory, who was born in Saint Petersburg on October 6th, 1836.']"
Joseph Louis Gay-Lussac,occupation,physicist,1,Q153185,P106,Q169470,What is the relationship between 'Joseph Louis Gay-Lussac' and 'physicist'?,Joseph Louis Gay-Lussac [occupation] physicist,['occupation'],occupation,['True. Reason: Joseph Louis Gay-Lussac was a French chemist and physicist known for his work on the properties of gases.']
James Brown,country of citizenship,Canada,0,Q5950,P27,Q16,What is the relationship between 'James Brown' and 'Canada'?,Relationship is ambiguous.,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Yuri Vizbor,occupation,songwriter,1,Q582152,P106,Q753110,What is the relationship between 'Yuri Vizbor' and 'songwriter'?,Yuri Vizbor [occupation] songwriter,['occupation'],occupation,"['True. Reason: Yuri Vizbor was a well-known Soviet bard and songwriter, so it is true that he was a songwriter based on common knowledge.']"
Saint Lucia,official language,Russian,0,Q760,P37,Q7737,What is the relationship between 'Saint Lucia' and 'Russian'?,Saint Lucia [official language] Russian,['official language'],relationship is ambiguous,"['False. Reason: The official language of Saint Lucia is English, not Russian.']"
Harald Weinrich,member of,Academia Europaea,1,Q69631,P463,Q337234,What is the relationship between 'Harald Weinrich' and 'Academia Europaea'?,Harald Weinrich [member of] Academia Europaea,['member of'],member of,"['True. Reason: Harald Weinrich is a member of Academia Europaea, an international non-governmental association of individual scientists and scholars who are experts in their field.']"
Mexico,diplomatic relation,Denmark,1,Q96,P530,Q35,What is the relationship between 'Mexico' and 'Denmark'?,Mexico [diplomatic relation] Denmark,['diplomatic relation'],diplomatic relation,"['True. Reason: It is common knowledge that countries can have diplomatic relations with each other. Therefore, it is plausible that Mexico and Denmark have diplomatic relations.']"
Tunisia,member of,African Development Bank,1,Q948,P463,Q340195,What is the relationship between 'Tunisia' and 'African Development Bank'?,Tunisia [member of] African Development Bank,['member of'],member of,['False. Reason: Tunisia is a member of the African Development Bank.']
Ignaz Moscheles,ethnic group,Jewish people,1,Q159551,P172,Q7325,What is the relationship between 'Ignaz Moscheles' and 'Jewish people'?,Ignaz Moscheles [ethnic group] Jewish people,['ethnic group'],ethnic group,"['True. Reason: Ignaz Moscheles was a Jewish composer and pianist, so the relationship between Ignaz Moscheles and Jewish people is true based on common knowledge.']"
Arthur Miller,occupation,diarist,0,Q80596,P106,Q18939491,What is the relationship between 'Arthur Miller' and 'diarist'?,Arthur Miller [occupations] diarist,['occupations'],relationship is ambiguous,['False. Reason: Arthur Miller is known as a playwright and not as a diarist.']
Lenny Kravitz,country of citizenship,India,0,Q180224,P27,Q668,What is the relationship between 'Lenny Kravitz' and 'India'?,"""Lenny Kravitz [visited] India"".",['visited'],relationship is ambiguous,['False. Reason: Lenny Kravitz is a musician and not known for visiting India.']
Alexis de Tocqueville,country of citizenship,United States of America,0,Q140694,P27,Q30,What is the relationship between 'Alexis de Tocqueville' and 'United States of America'?,Alexis de Tocqueville [visited] United States of America.,['visited'],relationship is ambiguous,"['False. Reason: Alexis de Tocqueville did visit the United States of America in 1831 to study the American penal system and wrote the famous work ""Democracy in America"".']"
Sebastian Haffner,place of death,Göttingen,0,Q57535,P20,Q3033,What is the relationship between 'Sebastian Haffner' and 'Göttingen'?,Sebastian Haffner [educated at] Göttingen,['educated at'],relationship is ambiguous,['True. Reason: Sebastian Haffner studied law and economics at the University of Göttingen.']
Jerry Lewis,occupation,singer-songwriter,1,Q294927,P106,Q488205,What is the relationship between 'Jerry Lewis' and 'singer-songwriter'?,Relationship is ambiguous.,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Prince,occupation,film producer,1,Q7542,P106,Q3282637,What is the relationship between 'Prince' and 'film producer'?,Prince [occupation] film producer,['occupation'],occupation,"['False. Reason: A prince is typically a member of royalty or nobility, and it is uncommon for them to work as a film producer.']"
Bangladesh,diplomatic relation,Belarus,1,Q902,P530,Q184,What is the relationship between 'Bangladesh' and 'Belarus'?,Bangladesh [country] Belarus,['country'],diplomatic relation,"['False. Reason: Bangladesh and Belarus are both countries, so the relationship ""Bangladesh [country] Belarus"" is false.']"
Richard Wright,country of citizenship,Kingdom of Italy,0,Q190251,P27,Q172579,What is the relationship between 'Richard Wright' and 'Kingdom of Italy'?,Richard Wright [place of birth] Kingdom of Italy,['place of birth'],relationship is ambiguous,"['False. Reason: Richard Wright, the famous author, was born in Mississippi, United States, not in the Kingdom of Italy.']"
Sheryl Crow,field of work,musical composition,1,Q200586,P101,Q207628,What is the relationship between 'Sheryl Crow' and 'musical composition'?,Sheryl Crow [notable works] musical composition.,['notable works'],field of work,['False. Reason: Sheryl Crow is known for her work as a singer-songwriter and musician rather than for composing music.']
Mikhail Lermontov,place of birth,Los Angeles,0,Q46599,P19,Q65,What is the relationship between 'Mikhail Lermontov' and 'Los Angeles'?,Mikhail Lermontov [residence] Los Angeles.,['residence'],relationship is ambiguous,"['False. Reason: Mikhail Lermontov, a Russian writer, lived in the 19th century and is known to have resided in Russia and parts of Europe. There is no evidence or common knowledge that he resided in Los Angeles.']"
Mario Vargas Llosa,occupation,university teacher,1,Q39803,P106,Q1622272,What is the relationship between 'Mario Vargas Llosa' and 'university teacher'?,Mario Vargas Llosa [occupation] university teacher,['occupation'],occupation,"['False. Reason: Mario Vargas Llosa is a Peruvian writer and politician, not known primarily as a university teacher.']"
Günther Anders,place of death,New York City,0,Q60884,P20,Q60,What is the relationship between 'Günther Anders' and 'New York City'?,Günther Anders [residence] New York City.,['residence'],relationship is ambiguous,"['False. Reason: Günther Anders, an Austrian philosopher, was primarily known to have spent most of his life in various cities in Europe, especially in Germany and Austria. There is no known information or evidence to suggest that he resided in New York City.']"
